"id","age","sex","job","education","description","ProductImpression","PurchaseIntention","PurchaseNumeric","PurchaseProbability","descriptionclean","descriptionclean_en","sentiment_ger","sentiment_eng"
116,38,"Frau","Hausfrau/-mann","Mittlere Reife","Das es für mich icht so toll war",3,"wahrscheinlich_nicht",2,0.05,"Das es für mich nicht so toll war","That it was not so great for me",0.5066,1
117,38,"Frau","Angestellter","Abitur (Matura)","sehr lecker und überraschend",7,"wahrscheinlich",4,0.25,"sehr lecker und überraschend","very tasty and surprising",0.004,NA
118,36,"Frau","Hausfrau/-mann","Grund-/Haupt-/Volksschule","vielseitig und ne tolle farbe",7,"ja",5,0.75,"vielseitig und ne tolle farbe","versatile and a great color",0.0957,1
119,38,"Frau","Angestellter","Lehre","lecker und vielseitig",7,"ja",5,0.75,"lecker und vielseitig","tasty and versatile",0.0957,1
120,39,"Frau","Hausfrau/-mann","Mittlere Reife","Absolut gute frage, mir persönlich etwas zu sauer, vielfältig einsetzbar",6,"unsicher",3,0.1,"Absolut gute frage, mir persönlich etwas zu sauer, vielfältig einsetzbar","Absolutely good question, a little too sour for me personally, versatile",0.0803333333333333,0.333333333333333
121,27,"Frau","Hausfrau/-mann","noch keine","Fruchtig frisch",6,"unsicher",3,0.1,"Fruchtig frisch","Fruity fresh",NA,1
122,39,"Herr","Selbständig","Abitur (Matura)","Schmackhaft, sauer, dickflüssig.",5,"wahrscheinlich",4,0.25,"Schmackhaft, sauer, dickflüssig.","Tasty, sour, thick.",0.1061,-1
123,33,"Frau","Arbeiter","Realschule","Sauer",3,"nein",1,0.01,"Sauer","Sour",-0.0048,-1
124,40,"Frau","Angestellter","Mittlere Reife","neues Produkt, kannte ich vorher nicht, würde es das Produkt noch in weiteren Geschmacksrichtungen geben?",7,"wahrscheinlich_nicht",2,0.05,"neues Produkt, kannte ich vorher nicht, würde es das Produkt noch in weiteren Geschmacksrichtungen geben?","new product, didn't know this product before, would it be available in more flavors?",NA,1
125,31,"Frau","Angestellter","Abitur (Matura)","keine Sosse, dein Dip, nix für Süsses :-(",1,"nein",1,0.01,"keine Soße, kein Dip, nix für Süsses :-(","no sauce, no dip, nix for sweet :-(",NA,1
126,42,"Frau","Angestellter","Lehre","Getränkesirup",6,"wahrscheinlich",4,0.25,"Getränkesirup","drink syrup",NA,NA
127,27,"Frau","Angestellter","Lehre","Tolle Farbe",6,"ja",5,0.75,"Tolle Farbe","great color",NA,1
128,33,"Frau","Hausfrau/-mann","Mittlere Reife","fruchtig frisch geheimnisvoll",6,"unsicher",3,0.1,"fruchtig frisch geheimnisvoll","fruity fresh mysterious",NA,0
129,31,"Frau","Hausfrau/-mann","Mittlere Reife","Sehr vielseitig ",6,"wahrscheinlich",4,0.25,"Sehr vielseitig ","very versatile ",0.0957,1
130,43,"Frau","Angestellter","Fachgebundene Hochschulreife","fruchtige, leicht saure Sauce zum verfeinern von süßspeisen, salaten oder käse",7,"wahrscheinlich",4,0.25,"fruchtige, leicht saure Sauce zum verfeinern von süßspeisen, salaten oder käse","fruity, slightly sour sauce to refine sweet dishes, salads or cheese",0.004,0.333333333333333
131,44,"Herr","Angestellter","Mittlere Reife","ein leckeres Erlebnis und ein geschmackvolles Projekt",7,"ja",5,0.75,"ein leckeres Erlebnis und ein Geschmackvolles Projekt","a delicious experience and a tasty project",NA,1
132,39,"Frau","Hausfrau/-mann","noch keine","Sehr vielfälltig und super im Geschmack",7,"ja",5,0.75,"Sehr vielfälltig und super im Geschmack","Very versatile and great taste",0.5012,1
133,31,"Frau","Angestellter","Mittlere Reife","Ich muss als erstes dazu sagen das ich mit meinem Sohn 2 Wochen im Krankenhaus lag und das Produkt nicht so testen konnte wie ich es gerne hätte. Aber ich finde die Farbe sehr ansprechend und der Geschmack ist mal was anderes.",7,"unsicher",3,0.1,"Ich muss als erstes dazu sagen das ich mit meinem Sohn 2 Wochen im Krankenhaus lag und das Produkt nicht so testen konnte wie ich es gerne hätte. Aber ich finde die Farbe sehr ansprechend und der Geschmack ist mal was anderes.","I must first say that I was in the hospital with my son for 2 weeks and could not test the product as I would have liked. But I find the color very appealing and the taste is something different.",0.3382,1
134,41,"Frau","Hausfrau/-mann","Abitur (Matura)","Gut zu herzhaften und süßen Gerichten.",5,"wahrscheinlich_nicht",2,0.05,"Gut zu herzhaften und süßen Gerichten.","Good with savory and sweet dishes.",0.3716,1
135,31,"Frau","Angestellter","Abitur (Matura)","exotisch, fruchtig, lecker",5,"unsicher",3,0.1,"exotisch, fruchtig, lecker","exotic, fruity, delicious",0.1944,1
136,29,"Frau","Selbständig","Realschule","Leckeres ,neues zum experimentieren einladenes PRodukt",7,"ja",5,0.75,"Leckeres ,neues zum experimentieren einladenes Produkt","Tasty ,new product inviting to experiment.",NA,NA
137,32,"Frau","Angestellter","Abitur (Matura)","Ich muss ehrlich sagen: ich hatte es im Supermarkt nicht gekauft. Weil die Flasche so unschön ist und weil ich mir nichts drunter vorstellen konnte... Aber das Produkt hat mich überzeugt! Innovativ und vielseitig! Jetzt noch eine entsprechende Verpackung und es wird ein Erfolg!",4,"unsicher",3,0.1,"Ich muss ehrlich sagen: ich hatte es im Supermarkt nicht gekauft. Weil die Flasche so unschön ist und weil ich mir nichts drunter vorstellen konnte... Aber das Produkt hat mich überzeugt! Innovativ und vielseitig! Jetzt noch eine entsprechende Verpackung und es wird ein Erfolg!","I have to be honest: I had not bought it in the supermarket. Because the bottle is so unattractive and because I could not imagine anything under it.... But the product convinced me! Innovative and versatile! Now add appropriate packaging and it will be a success!",0.06732,0.666666666666667
138,34,"Frau","Hausfrau/-mann","Lehre","es ist super lecker.mag es gerne auf eis",7,"ja",5,0.75,"es ist super lecker.mag es gerne auf eis","it's super tasty.like it on ice cream",0.5012,1
139,33,"Frau","Angestellter","Realschule","erfrischend neu !",7,"unsicher",3,0.1,"erfrischend neu !","refreshingly new !",0.11335,NA
140,41,"Frau","Angestellter","Sonstige","ein vielfälliges Produkt das Spaß macht",7,"ja",5,0.75,"ein vielfältiges Produkt das Spaß macht","a versatile product that is fun",NA,1
141,29,"Frau","Angestellter","Realschule","Fruchtig, süß-sauer, in Verbindung mit süßen Speißen ein Traum, und die Farbe ist auch richtig ansprechend, erinnert an roten Beeren",7,"wahrscheinlich",4,0.25,"Fruchtig, süß-sauer, in Verbindung mit süßen Speisen ein Traum, und die Farbe ist auch richtig ansprechend, erinnert an roten Beeren","Fruity, sweet and sour, in combination with sweet dishes a dream, and the color is also really appealing, reminiscent of red berries",0.17475,0.5
142,28,"Frau","Angestellter","Fachgebundene Hochschulreife","Hat mich nicht ganz überzeugt
",3,"wahrscheinlich_nicht",2,0.05,"Hat mich nicht ganz überzeugt
","Did not quite convince me
",0.2381,NA
143,43,"Frau","Arbeiter","Mittlere Reife","Gaumenfreude",7,"ja",5,0.75,"Gaumenfreude","Palate Pleaser",NA,NA
144,26,"Frau","Student","Universität","Vielfältig einsetzbarer Sirup",5,"nein",1,0.01,"Vielfältig einsetzbarer Sirup","Versatile syrup that can be used in a variety of ways",0.004,1
